fire_id,comune,fire_date,area_ha_effis,status,dnbr_area_ha_within_1km,dnbr_nearest_patch_ha,dnbr_nearest_dist_m,pre_scene,post_scene,pre_cloud_pct,post_cloud_pct,elapsed_s,overshoot_ratio,qa_flag
53038,Santa Cristina Gela,2021-08-13 00:00:00,12.0,ok,10.53,0.18,408.0,HLS.S30.T33SUC.2021212T095029.v2.0,HLS.S30.T33SUC.2021242T095029.v2.0,0.0,1.0,21.6,0.015,plausible
204389,Belmonte Mezzagno,2022-06-29 00:33:00,29.0,ok,74.16,0.18,43.0,HLS.S30.T33SUC.2022172T095041.v2.0,HLS.S30.T33SUC.2022197T094549.v2.0,0.0,0.0,21.1,0.006206896551724138,plausible
204370,Belmonte Mezzagno,2022-06-27 00:00:00,8.0,ok,25.74,0.18,0.0,HLS.S30.T33SUC.2022172T095041.v2.0,HLS.S30.T33SUC.2022197T094549.v2.0,0.0,0.0,24.4,0.0225,plausible
210861,Santa Cristina Gela,2022-09-25 09:39:00,6.0,ok,0.0,0.18,1604.0,HLS.S30.T33SUC.2022257T094609.v2.0,HLS.S30.T33SUC.2022305T100151.v2.0,0.0,0.0,29.2,0.03,needs_manual_review_likely_noise
209601,Belmonte Mezzagno,2022-08-18 00:00:00,10.0,ok,1610.55,3.87,76.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,16.1,0.387,plausible
209599,Belmonte Mezzagno,2022-08-18 00:00:00,10.0,ok,578.97,0.45,345.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,27.8,0.045,plausible
52125,Belmonte Mezzagno,2021-08-04 11:21:00,13.0,ok,5.4,0.18,422.0,HLS.S30.T33SUC.2021212T095029.v2.0,HLS.S30.T33SUC.2021242T095029.v2.0,0.0,1.0,36.0,0.013846153846153845,plausible
209436,Belmonte Mezzagno,2022-08-18 00:00:00,30.0,ok,71.64,0.27,15.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,31.7,0.009000000000000001,plausible
209596,Misilmeri,2022-08-18 00:00:00,15.0,ok,180.18,176.85,0.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,23.0,11.79,needs_manual_review_likely_noise
208696,Belmonte Mezzagno,2022-08-02 12:55:00,9.0,ok,32.85,1.53,18.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,22.3,0.17,plausible
223096,,,,no_burn_detected,,,,,,,,27.2,,n/a
209602,Belmonte Mezzagno,2022-08-18 00:00:00,12.0,ok,1085.94,1.08,0.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,33.3,0.09000000000000001,plausible
208697,Belmonte Mezzagno,2022-08-02 12:55:00,7.0,ok,41.85,1.17,0.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022257T094609.v2.0,0.0,0.0,30.1,0.16714285714285712,plausible
