comune,localita,date,area_ha
CASTRONOVO DI SICILIA,Contrada Magaloggino,2020-09-01,11.7445
SANTA CRISTINA GELA,Pianetto,2025-07-04,11.7344
CAMPOREALE,Camporeale,,11.7003
VENTIMIGLIA DI SICILIA,Traversa,2018-07-29,11.6693
MEZZOJUSO,Contrada La Lacca,2023-09-03,11.4753
ALIA,Contrada Gulfa,2023-07-20,11.4742
MONREALE,Kaggio,2020-05-12,11.4423
PALAZZO ADRIANO,Contrada S. Benedetto,,11.3905
TERMINI IMERESE,P.te Malpertuso,,11.3334
ALTOFONTE,BALZO ROSSO,2020-07-29,11.3054
ALTOFONTE,Bosco Di Rebuttone,2021-07-11,11.2619
PALAZZO ADRIANO,Monte Indisi,,11.2236
BISACQUINO,Tarucco,,11.1508
BELMONTE MEZZAGNO,montagnoliI Belmonte Mezzagno (PA),,11.1385
SANTA CRISTINA GELA,Pianetto,2025-07-26,11.126
CAMPOFIORITO,Parrina,2025-03-21,11.0427
CIMINNA,SERRE DI CIMINNA,2023-10-10,11.011
CAPACI,Capaci,2020-06-30,10.9763
CACCAMO,Acqua grande,2018-09-17,10.9759
CACCAMO,Monte S. Calogero,2024-04-14,10.9332
PALAZZO ADRIANO,Timpe Rosse,2024-08-01,10.909
ALTAVILLA MILICIA,"Coste, Altavilla Milicia (PA)",2023-01-06,10.8746
MISILMERI,Mennula,2025-07-21,10.8097
MISILMERI,GIBILROSSA,2023-09-13,10.7911
CALTAVUTURO,Monte Riparato,2023-02-24,10.699
CONTESSA ENTELLINA,Bufalo,2023-10-13,10.6308
MISILMERI,Casa Risalaimi,,10.6208
MONREALE,Cannavera,2023-09-20,10.5677
MONTELEPRE,Monte D'Oro,,10.5093
CACCAMO,Roxiura,2020-08-31,10.5032
CARINI,"Fossi, Carini (PA)",2020-02-29,10.4477
PIANA DEGLI ALBANESI,Cugno S.Agata,2025-06-28,10.4188
PALERMO,Monte Grifone,2023-04-24,10.4178
CACCAMO,Roxiura,2022-09-10,10.3785
ALTAVILLA MILICIA,Pizzo Selva La Mare,2020-03-01,10.3444
MARINEO,Marvotta,2023-10-10,10.3336
CHIUSA SCLAFANI,S.Carlo,,10.3317
SANTA CRISTINA GELA,PIZZO CERVO,2020-07-30,10.3312
PRIZZI,M. Dei Cavalli (Hippana),2021-08-08,10.304
ROCCAPALUMBA,Cozzo San Filippo,2020-07-21,10.2811
BELMONTE MEZZAGNO,Finocchiara,2020-07-11,10.273
GIARDINELLO,Carcatizzi,2023-10-19,10.2246
SANTA CRISTINA GELA,Pianetto,,10.1956
ROCCAMENA,Contrada Rinelli,2022-08-22,10.1702
CERDA,Pizzo Della Guardia,2021-08-09,10.1651
GANGI,Marocchello,2022-07-29,10.1493
GODRANO,Contrada Cannitello,2024-07-21,10.1087
PALAZZO ADRIANO,Cerza,2020-05-19,10.1005
MISILMERI,Case Greco,,10.0656
COLLESANO,Contrada Gargi Di Cenere,2023-08-29,10.0529
MONTEMAGGIORE BELSITO,"Monte Roccelito, Montemaggiore Belsito (PA)",2018-07-21,9.9788
BOLOGNETTA,"C.ZOS. Anna.,",2022-08-06,9.9745
TERMINI IMERESE,"Monte S. Calogero,",2021-08-04,9.9201
CARINI,COSTA BUFFA,,9.889
MISILMERI,Montagna Grande,2021-06-29,9.8793
SAN GIUSEPPE JATO,"Contrada Dammusi,",2022-06-28,9.8718
CHIUSA SCLAFANI,Gurra,2021-08-29,9.8575
PETRALIA SOPRANA,Salici e Balza Scala,2023-11-16,9.85
POLIZZI GENEROSA,Granci Sotto,2024-10-06,9.6749
LASCARI,San Sebastiano,2022-08-06,9.6568
TERMINI IMERESE,SUVARITA,2020-09-25,9.5825
MONREALE,Monte Renda,,9.5403
CAPACI,Zarcati,2023-10-15,9.5267
CALTAVUTURO,Caltavuturo,,9.513
PARTINICO,"Lago Poma SP2, Partinico (PA)",,9.5027
CASTELDACCIA,Corvo,2020-08-28,9.489
MARINEO,Costa Marcione,,9.4769
PRIZZI,Contrada Borruso,2021-09-14,9.4439
COLLESANO,Pizzo Cerro,2020-05-13,9.4142
BELMONTE MEZZAGNO,Finocchiara,,9.4086
MONREALE,Cerasa,2021-05-19,9.3674
BLUFI,Passo Di S. Andrea,2022-09-04,9.3039
PALAZZO ADRIANO,Timpe Rosse,2024-09-08,9.2968
MONREALE,"Giancaldara (Lago Poma), Monreale (PA)",2022-06-25,9.2901
TERMINI IMERESE,"Termini,Termini",2023-08-27,9.277
BOLOGNETTA,Cozzo del Lupo,2020-08-04,9.2644
MONREALE,Monte Fiascone,2022-08-18,9.2157
TERRASINI,Gazzara,2020-03-02,9.2128
GIULIANA,S. Marco,2022-09-05,9.207
TERMINI IMERESE,"Chiusa,",2020-06-01,9.1888
MONREALE,Caputello,2020-05-12,9.1157
ISNELLO,Contrada Madonna Lume,2023-07-27,9.0192
CONTESSA ENTELLINA,Carrubba,2023-10-16,8.9518
MONREALE,Monte Fiascone,2018-07-24,8.88
CHIUSA SCLAFANI,CHIUSA LA VECCHIA,2020-08-03,8.8584
BELMONTE MEZZAGNO,"Cozzo Salerno, Belmonte Mezzagno",,8.8574
CACCAMO,Complesso Boscato Monte Cane,2022-08-19,8.8201
PIANA DEGLI ALBANESI,LASI,2021-08-12,8.8052
PRIZZI,C.da Migliotta,2024-07-28,8.8034
CASTRONOVO DI SICILIA,Castronovo,2023-07-15,8.7944
BISACQUINO,Valle Lupa Bisacquino (PA),2024-03-17,8.7701
ALTOFONTE,Bosco Di Rebuttone,,8.7521
TERMINI IMERESE,Corte Vecchia,2022-08-18,8.7214
PALERMO,Bellolampo,2022-06-21,8.6409
PRIZZI,Prizzi,2023-09-22,8.6115
PETRALIA SOTTANA,Irosa,2023-09-13,8.5671
BELMONTE MEZZAGNO,Monte S. Caterina,,8.542
MISILMERI,Costa Marcione,2023-11-05,8.5419
BELMONTE MEZZAGNO,Pizzo Belmonte,2022-07-16,8.5292
CASTRONOVO DI SICILIA,Contrada S. Cono,,8.4719
POLIZZI GENEROSA,Case Dirupo Bianco,2022-03-26,8.4277
ALIA,"Bivio sette frati, Alia (PA)",2020-08-04,8.3894
MONTELEPRE,Monte D'Oro,2021-08-04,8.3692
CASTRONOVO DI SICILIA,S. Vitale,2025-08-06,8.3657
CACCAMO,"San Felice, Caccamo (PA)",2018-08-22,8.3447
CHIUSA SCLAFANI,Contrada Cartuccio,2024-06-11,8.2671
CASTELDACCIA,Traversa - Navurra Casteldaccia (PA),2018-09-29,8.1797
PIANA DEGLI ALBANESI,Argomasi,2022-07-24,8.1693
BELMONTE MEZZAGNO,Casale,2025-07-11,8.1365
MONREALE,Contrada Marzuso,2023-07-31,8.127
COLLESANO,Contrada Gargi Di Cenere,,8.1227
MONREALE,Poggio S. Francesco,2020-08-11,8.0964
PETRALIA SOPRANA,Raffo,2021-07-31,8.0954
CACCAMO,Valle Pernice,2021-09-17,8.0585
MONTELEPRE,Poggio Muletta,2023-10-30,8.0549
CARINI,Cozzo Lupo,2018-07-18,8.0043
MISILMERI,Montagnola,2023-07-18,7.9904
TERMINI IMERESE,Cozzo Dell' Imperatore,2018-09-16,7.9498
ALTOFONTE,Pizzo Di Valle Del Fico,,7.9134
MISILMERI,Montagna Grande,2020-05-05,7.9089
CHIUSA SCLAFANI,Valle Vite,2025-06-28,7.8993
PALERMO,Manche di Bellolampo,2022-08-19,7.8802
CINISI,piano margi,2023-10-20,7.8701
MONTELEPRE,La Vallotta,,7.8561
CIMINNA,Pistoleni,2020-08-17,7.808
MONREALE,Monte Renda,2025-08-14,7.8055
CASTRONOVO DI SICILIA,Contrada Scivolilli,2025-07-15,7.8052
BAUCINA,Contrada Noce,2018-07-21,7.8051
SANTA FLAVIA,Solunto Torre Muzza,2018-05-11,7.7857
CASTELDACCIA,"Accia,",2022-09-14,7.7669
CIMINNA,San Pantaleo,2018-08-13,7.7663
TERMINI IMERESE,Danigarci,2024-08-17,7.7603
MONREALE,Cozzo Cippi,2021-07-02,7.7561
TERMINI IMERESE,Chiusa,2022-05-21,7.7321
CACCAMO,"Santa Rosala, Caccamo (PA)",,7.7162
TERMINI IMERESE,Cozzo Ligneri,2022-06-26,7.7154
SANTA CRISTINA GELA,Spit E Fifiut,2023-09-15,7.6649
CASTRONOVO DI SICILIA,Contrada Magaloggino,2025-07-21,7.5851
ALTAVILLA MILICIA,Cozzo Cannamosca,2020-09-25,7.551
MONREALE,Strasatto,,7.5409
TERMINI IMERESE,Monte S. Calogero,2022-04-12,7.5367
PIANA DEGLI ALBANESI,Cozzo rossella,2022-06-28,7.535
PIANA DEGLI ALBANESI,Cozzo S. Angelo,,7.5255
PIANA DEGLI ALBANESI,Monte Maganoce,2022-08-04,7.5245
ALTOFONTE,VALLE FICO,2022-06-22,7.5237
CHIUSA SCLAFANI,Contrada Cartuccio,,7.5216
SANTA CRISTINA GELA,PIZZO CERVO,2020-07-30,7.5197
MONREALE,Miccini,,7.515
SAN GIUSEPPE JATO,Cozzo Piraino,2021-03-11,7.5003
ALIA,Pizzo Garibaldi,2022-08-17,7.4826
CHIUSA SCLAFANI,Contrada Cartuccio,2025-08-13,7.4691
MONREALE,Contrada Billiemi,2025-09-13,7.447
MISILMERI,Frattina,2020-08-10,7.4384
MISILMERI,MENDOLA,2021-08-25,7.4005
PIANA DEGLI ALBANESI,Lago Piana circolo canottaggio,2023-10-19,7.399
CASTRONOVO DI SICILIA,Depupo,2024-07-17,7.3724
CACCAMO,Cangemi,2025-07-24,7.3681
ALTOFONTE,via linea ferrata,2024-08-26,7.355
PRIZZI,Contrada Grimaldi,2021-07-02,7.3494
CACCAMO,Complesso Boscato Monte Cane,2022-10-05,7.3241
CASTRONOVO DI SICILIA,Depupo,2025-08-06,7.309
ALTOFONTE,Portella Rebuttone,2025-07-26,7.2647
CONTESSA ENTELLINA,Chiappetta,2022-06-26,7.2618
BELMONTE MEZZAGNO,Pizzo Neviera,,7.2368
CALTAVUTURO,Rocca Di Sciara,,7.2353
MONREALE,Contrada Guastella,2023-08-06,7.2259
BAGHERIA,Porcara,2022-06-25,7.184
MONREALE,Monte Fiascone,2018-07-24,7.1833
BISACQUINO,Giancavallo,,7.1767
MONREALE,Miccini,2022-06-27,7.1761
MISILMERI,Frattina,2020-07-11,7.1506
SCIARA,Suvarelli,2022-05-18,7.0967
BELMONTE MEZZAGNO,Casa Placa,,7.0942
PIANA DEGLI ALBANESI,Monte Rossella,2018-08-04,7.0753
LERCARA FRIDDI,Lercara Friddi,2023-07-05,7.0461
ALIA,Bevaio Del Bosco,2023-09-05,6.9917
BAGHERIA,Monte Porcara,2024-07-14,6.9786
ALTOFONTE,Salvina,2018-07-22,6.9731
GODRANO,Contrada Cannitello,2024-09-02,6.9487
CONTESSA ENTELLINA,"S. Maria del Bosco, Contessa Entellina (PA)",2020-01-06,6.9118
CALTAVUTURO,Contrada Suvari,2024-03-30,6.907
TRAPPETO,San Cataldo,2021-07-25,6.9024
CAPACI,Costa Perniciaro,2018-07-26,6.8882
BOMPIETRO,Contrada S. Filippo,2023-10-05,6.8797
TERMINI IMERESE,Incallisi,2022-07-20,6.8576
SANTA CRISTINA GELA,Zotta del Pomo,2018-04-15,6.8272
MARINEO,Parco Vecchio,2024-10-13,6.8235
TERMINI IMERESE,"Chiusa,",2023-07-02,6.8191
BOLOGNETTA,Liberto,2022-07-06,6.8035
MISILMERI,Potabilizzazione Impianto Di,2024-03-08,6.735
PALERMO,Falconara,2023-07-23,6.7114
BISACQUINO,Ciancianello,2020-03-22,6.6784
SANTA CRISTINA GELA,Cozzo Dello Sbanduto,2022-09-09,6.6744
MONREALE,Strasatto,2023-09-05,6.647
MONTEMAGGIORE BELSITO,San Giovanni,2021-09-25,6.5878
CACCAMO,CAMMARATA,2020-08-11,6.5827
CACCAMO,M. Rotondo,2020-01-21,6.5827
TRABIA,Sant'Onofrio,2022-10-07,6.5544
MISILMERI,Portella Di Mare,2023-05-07,6.5523
BELMONTE MEZZAGNO,Monte S. Caterina,2022-06-28,6.5415
CARINI, Giagaffi,2020-06-14,6.5412
MONREALE,Cozzo Cippi,2022-08-17,6.4415
MISILMERI,Risalaimi,2025-09-17,6.441
TERMINI IMERESE,Cangemi,2025-08-27,6.4397
ALTOFONTE,Cozzo Ferrera,,6.3828
MONREALE,Miccini,2023-08-31,6.3259
CALTAVUTURO,Monte Riparato,2025-10-12,6.3085
CASTELLANA SICULA,Cantoniera Maimone,2025-08-07,6.2987
SANTA CRISTINA GELA,Migliore,2023-09-19,6.2579
BOLOGNETTA,Cozzo Del Lupo,2023-07-23,6.2468
PARTINICO,Madonna Del Ponte,,6.24
PARTINICO,Diga jato S.Anna,2025-07-20,6.2367
MONREALE,Miccini,2023-10-20,6.2333
PALERMO,Valle Giorgia,2020-08-18,6.2293
BOLOGNETTA,Bolognetta,2025-08-13,6.2239
BAGHERIA,Monte Catalfano,2021-06-10,6.2124
SAN GIUSEPPE JATO,Fosso della Chiusa,2020-09-22,6.1829
SAN MAURO CASTELVERDE,Contrada Karsa,2021-07-02,6.1492
MARINEO,Costa Marcione,,6.1406
GERACI SICULO,Contrada Ramusa,,6.0889
SANTA CRISTINA GELA,Mandra Turdiepi,2022-09-13,6.0881
MONTELEPRE,Calcerame,2022-08-07,6.079
BOLOGNETTA,Cozzo Cucchi,2020-08-30,6.0598
BAGHERIA,Porcara,,6.0384
VILLAFRATI,Contrada Capezzana,2020-09-22,6.0151
SANTA CRISTINA GELA,Rossella,2020-05-16,6.0074
SCILLATO,Cammisini,2025-04-14,6.0055
TERMINI IMERESE,C/da Valanche,2022-07-03,5.9723
CARINI,Lo Zucco,2021-08-24,5.9543
TERMINI IMERESE,Monte San Calogero,,5.9155
CACCAMO,Roxiura,2021-09-03,5.8939
ALTOFONTE,Valle Di Rebuttone,2024-08-26,5.8919
TERRASINI,Costa Stagno,2022-09-28,5.882
PRIZZI,C.,2022-07-30,5.88
BISACQUINO,C.Argentiera,2021-09-23,5.8566
PALERMO,Manche di Bellolampo,2022-08-19,5.8451
MONREALE,Miccini,,5.8428
CINISI,Madonna Del Furi,2022-09-23,5.8123
SANTA CRISTINA GELA,Pianetto,2021-08-13,5.7948
ISNELLO,Monte Grotta Grande,2023-07-26,5.7735
MONTELEPRE,Cozzo Di Vite,2022-07-13,5.755
MONREALE,"Punta Della Vecchia, Monreale (PA)",2021-04-08,5.7426
ALIMINUSA,Aliminusa,2022-09-23,5.7373
ALTOFONTE,Valle Del Fico,2025-09-21,5.7328
MISILMERI,Montagna Grande,2020-07-05,5.7138
MONREALE,Monte Petroso,2018-01-07,5.7067
BISACQUINO,Cuzzitello Sottomadonna,2021-05-23,5.6591
CACCAMO,Acqua grande,,5.6527
BAUCINA,Monte Carrozza,2024-08-29,5.6495
MISILMERI,Misilmeri,2025-07-25,5.6406
CACCAMO,Favara,,5.6394
CACCAMO,Contrada Gurgo,,5.6214
CALTAVUTURO,Caltavuturo,2024-04-11,5.615
PALERMO,vallone pizzo sella,,5.5776
PRIZZI,Filaga,2022-09-09,5.536
PIANA DEGLI ALBANESI,Lago Di Piana Degli Albanesi,2018-04-04,5.5323
BELMONTE MEZZAGNO,Belmonte Mezzagno,2022-06-04,5.5131
PARTINICO,Lago Poma,,5.5072
CHIUSA SCLAFANI,Contrada Cartuccio,2025-08-14,5.4625
PIANA DEGLI ALBANESI,Dingoli,2020-02-19,5.4236
SANTA CRISTINA GELA,Ponte Arcera,2023-09-07,5.4199
TERMINI IMERESE,Cozzo malpertuso - Termini Imerese (PA),2018-09-08,5.4042
MONREALE,casaboli,2024-03-15,5.3948
VENTIMIGLIA DI SICILIA,cozzo pantaleo,2018-07-05,5.3839
MONREALE,Monte Della Fiera,2022-05-24,5.3794
MEZZOJUSO,Candreo,2025-06-13,5.378
ALTAVILLA MILICIA,Torre Normanna,2025-09-10,5.355
PARTINICO,Madonna Del Ponte,,5.352
MISILMERI,Mennula,2020-08-30,5.3318
ALIMENA,Alimena,2023-10-06,5.2494
CIMINNA,Bosco vecchio Ciminna,2020-08-03,5.2414
ISNELLO,Contrada Madonna Lume,2020-05-18,5.233
CARINI,Bausu Moscala,2021-07-27,5.2201
SCLAFANI BAGNI,Contrada Miano,2021-08-04,5.1819
CHIUSA SCLAFANI,Chiappanti,2021-04-08,5.1547
PIANA DEGLI ALBANESI,Argomazit,2020-09-02,5.1471
MISILMERI,Risalaimi,2025-09-20,5.1411
COLLESANO,Contrada Garbinogara,2025-09-10,5.1319
MONTEMAGGIORE BELSITO,"Monte Roccelito, Montemaggiore Belsito (PA)",,5.1017
ROCCAPALUMBA,Timpi Roccapalumba (PA),,5.0952
MARINEO,Costa Marcione,,5.0946
PRIZZI,Filaga,2020-08-27,5.0363
CERDA,Pizzo Della Guardia,2018-08-16,5.0255
CARINI,Valle D'Olmo,2023-09-23,5.0239
MONREALE,Valle Fontana Fredda,2020-08-14,5.0142
CACCAMO,S.Rosala,2020-05-14,4.999
BAGHERIA,Porcara,2023-07-16,4.9981
CHIUSA SCLAFANI,Chiusa Sclafani,,4.9563
MONTELEPRE,"Porcazzo, Montelepre (PA)",2020-04-14,4.9445
PALERMO,Ciaculli,2025-06-08,4.9243
MONREALE,Miccini,2023-09-11,4.9061
PALAZZO ADRIANO,C. Mezzo Canale,2022-07-30,4.8869
COLLESANO,Contrada Ferro,2021-11-07,4.8767
MONREALE,Lago Poma,2018-09-21,4.8735
COLLESANO,Contrada Bovitello,,4.8671
GODRANO,Contrada Cannitello,2024-07-22,4.8637
POLLINA,Serra Casalo,2021-05-11,4.8509
ALTAVILLA MILICIA,Contrada Sperone,2024-10-08,4.8434
MONREALE,Contrada Giancaldara,,4.755
MONREALE,"mirto,Monreale (PA)",2018-09-12,4.7409
CALTAVUTURO,Monte Riparato,2020-03-18,4.7222
ALIA,Contrada Gulfa,2021-09-19,4.7193
SANTA CRISTINA GELA,Turdiepi,2025-09-20,4.7091
MONREALE,La Figurella,2018-07-29,4.7071
VILLAFRATI,FAVAROTTA,2018-09-27,4.7062
MARINEO,Serre di Marineo,2024-06-11,4.6937
BOLOGNETTA,Accia,2025-07-14,4.6762
PARTINICO,Monte Cesaro,,4.6681
ISNELLO,Stazzone,2024-07-13,4.6255
MONTELEPRE,torrente Malpasso,2023-05-23,4.6219
MISILMERI,Frattina,2021-07-20,4.6105
CAMPOFELICE DI FITALIA,Casa Carini,2024-07-14,4.6087
CHIUSA SCLAFANI,Monte Peloso,,4.6086
BOLOGNETTA,Bolognetta,2025-08-28,4.591
ALTAVILLA MILICIA,Grotta Mazzamuto,2023-05-06,4.5899
MONTEMAGGIORE BELSITO,Montemaggiore Belsito,2025-07-19,4.5449
MISILMERI,Frattina,2020-08-17,4.5377
TERMINI IMERESE,Danigarci,2024-03-30,4.5267
MONTEMAGGIORE BELSITO,Bevaio Battaglia,2022-07-14,4.5244
ALTOFONTE,Valle Di Rebuttone,2024-06-23,4.5154
MONREALE,Lago Poma,2021-08-27,4.5132
TERMINI IMERESE,M. Pileri,2023-07-18,4.5053
PALERMO,Falconara,2023-07-23,4.4977
MONREALE,Lago Poma,2021-08-29,4.4769
CHIUSA SCLAFANI,Cardillo,2022-09-09,4.4655
PALERMO,Monte Grifone,,4.4239
GIULIANA,"S.MARIA DEL BOSCO, Giuliana (PA)",2021-08-14,4.412
CAMPOFELICE DI FITALIA,Campofelice Di Fitalia,2025-06-25,4.4025
CARINI,Pizzo Montanello,2023-09-21,4.3934
CIMINNA,Pistoleni,2023-09-21,4.3805
PALERMO,Valle Paradiso,2022-06-25,4.3739
PARTINICO,Madonna Del Ponte,2021-07-04,4.3694
CIMINNA,Cozzo Fagiano,2022-07-15,4.3661
POLIZZI GENEROSA,Contrada Chiaretta,2020-02-04,4.3603
ISNELLO,Contrada Mongerrati,2024-01-03,4.3409
MARINEO,Parco Vecchio,2025-10-09,4.3218
TERMINI IMERESE,Cozzo Montagnola,2018-06-29,4.2814
BISACQUINO,Martinazzo,2021-05-24,4.2684
BISACQUINO,Cozzo Serro,2021-06-29,4.2655
PRIZZI,Prizzi,2024-08-03,4.232
PIANA DEGLI ALBANESI,LA PIZZUTA,2018-07-12,4.2303
MISILMERI,"Montagnola/Cottanera,",2023-08-13,4.2249
CARINI,Bausu Moscala,2021-08-01,4.2225
PARTINICO,Contrada Lazzarola,2021-07-13,4.2086
PARTINICO,Lago Poma,,4.1917
TERMINI IMERESE,Contrada Soprana,2021-08-10,4.1814
PIANA DEGLI ALBANESI,LASI,2020-02-14,4.1778
CACCAMO,Manche ,2018-05-30,4.1675
MONREALE,Contrada Billiemi,2021-08-22,4.1651
CORLEONE,Contrada Poggio,2023-08-12,4.1582
MEZZOJUSO,"Serre Riillo, Mezzojuso (PA)",2018-04-27,4.1452
MONREALE,Contrada Guastella,2021-08-31,4.1386
CIMINNA,Cozzo Maragliano,2023-11-03,4.114
PALERMO,Monte Grifone,2020-06-28,4.0949
CONTESSA ENTELLINA,Bufalo,2024-04-04,4.0791
GIARDINELLO,Carcatizzi,2020-08-29,4.0672
TERMINI IMERESE,Cozzo Montagnola,2018-09-12,4.0664
ALIA,barbarà,,4.0613
MONREALE,Mirto,2021-06-19,4.0556
MONTEMAGGIORE BELSITO,Cordaro,2021-08-31,4.0537
CACCAMO,Monte Cane,2023-03-26,4.0386
CHIUSA SCLAFANI,Cardillo,2020-03-01,4.0013
GERACI SICULO,Molino Mazzara,2023-02-26,3.9756
SAN MAURO CASTELVERDE,Contrada Ogliastro,,3.9732
BELMONTE MEZZAGNO,vasche s.salvatore,2020-07-13,3.9556
CACCAMO,Favara,2022-07-12,3.9394
BAGHERIA,Cavallo Di Mezzo,2020-05-04,3.9334
ALTOFONTE,Ciacca,2018-07-19,3.9207
MONREALE,Contrada Lupotto,2024-07-05,3.9195
TERMINI IMERESE,Monte S. Calogero,2024-09-08,3.9192
ISNELLO,Contrada Madonna Lume,2024-07-12,3.8905
TERMINI IMERESE,"Madonna Diana, Termini Imerese PA)",2018-10-28,3.89
SCLAFANI BAGNI,Sclafani Bagni,2020-09-02,3.8878
MONREALE,Contrada Fellamonica,2021-09-16,3.8821
SANTA FLAVIA,Portella Costa Trabia,2018-06-03,3.8768
MONREALE,Fella Monica Monreale,2022-06-21,3.844
CACCAMO,Vaccaro,,3.8439
ISNELLO,"Ponte Mericola, Isnello",2021-07-25,3.8195
CARINI,COSTA BUFFA,,3.8056
CASTELBUONO,Piano Marchese,2021-08-17,3.7993
BISACQUINO,Lavanzino,2023-08-27,3.7929
CASTRONOVO DI SICILIA,Castronovo,,3.7749
TERMINI IMERESE,Monte San Calogero Varcoco,,3.7686
TERMINI IMERESE,Cava Buttitta,2022-07-20,3.7647
BISACQUINO,Cozzo serro,2023-08-27,3.7484
MONTELEPRE,Calcerame,2022-07-13,3.7358
CARINI,Lo Zucco,,3.7272
PARTINICO,Lago Poma,2022-06-30,3.7132
SANTA CRISTINA GELA,Pianetto,2023-10-19,3.6695
CACCAMO,Contrada Manchi,2023-10-15,3.6678
CHIUSA SCLAFANI,Gurra,2023-10-03,3.6577
PALERMO,poggio ridente,2018-07-14,3.6568
BAUCINA,Monte Torre,2020-07-29,3.6392
VICARI,"Cozzo Manganaro,",2020-06-16,3.6049
COLLESANO,Casa Ottosalme,2023-08-16,3.5695
ALTOFONTE,Montagna Di Rebuttone,,3.5587
ISOLA DELLE FEMMINE,Estremola,2018-08-11,3.5335
CIMINNA,VALLONE MARRAIA,2022-07-24,3.5334
MONREALE,Renda,2025-07-21,3.5326
TERMINI IMERESE,Corte Vecchia,,3.5295
COLLESANO,Contrada Gargi Di Cenere,2023-09-20,3.5138
CIMINNA,Pirato Ciminna ( PA ),2023-08-16,3.5117
SANTA CRISTINA GELA,Cimitero,2025-08-08,3.5084
POLLINA,Zurrica,2018-06-03,3.501
MONREALE,Miccini,,3.499
SANTA CRISTINA GELA,"Bosco Pianetto,",2023-09-18,3.4772
MONREALE,Giacalone,2020-08-22,3.4506
POLIZZI GENEROSA,Contrada S. Paolo,2022-08-04,3.4178
VENTIMIGLIA DI SICILIA,CAPRARIA,2018-10-11,3.4017
TRABIA,Santo Onofrio,2018-12-30,3.396
MONREALE,Contrada Fellamonica,2020-08-05,3.3771
CHIUSA SCLAFANI,Monte Lucerto,2020-04-10,3.3761
MARINEO,Luisa,2025-07-09,3.373
CIMINNA,Pozzillo,2018-09-03,3.3715
VENTIMIGLIA DI SICILIA,"Cozzo Volpe, Vntimiglia i Sicii",2023-07-18,3.3699
POLIZZI GENEROSA,San Cono,2020-05-03,3.3597
CASTELLANA SICULA,Valle Maimone,2023-07-31,3.3546
MONREALE,Miccini,2024-04-14,3.3236
CASTELLANA SICULA,Tufo Gipsi,2018-04-10,3.3192
SAN MAURO CASTELVERDE,Casa Ciambra,2021-08-10,3.3053
ALTOFONTE,Valle Di Rebuttone,2023-08-26,3.3031
SANTA FLAVIA,"Petrosa, Santa Flavia (PA)",2025-08-28,3.3022
CIMINNA,SERRE DI CIMINNA,,3.2723
BALESTRATE,Sicciarotta,2020-09-25,3.2567
CALTAVUTURO,Favarella,2023-09-22,3.224
MONREALE,Contrada Fellamonica,,3.224
CASTELBUONO,Contrada S. Elia,2023-11-21,3.1886
TORRETTA,Vallone Susinna,2024-10-05,3.1865
ALTOFONTE,Piano Carandola,2020-07-02,3.1777
CACCAMO,Caccamo,2024-07-07,3.1726
MONREALE,Lago Poma,2023-08-03,3.1676
BOLOGNETTA,Bolognetta,2022-06-07,3.155
TERMINI IMERESE,Corte Vecchia,2022-09-19,3.1362
ALIA,Pizzo Garibaldi,,3.1252
SANTA CRISTINA GELA,Pianetto,2021-09-10,3.1251
BAUCINA,Piano Ceuso,2018-05-20,3.1222
CASTRONOVO DI SICILIA,Contrada Magaloggino,2023-10-15,3.1165
MONREALE,Pioppo,,3.1156
TERMINI IMERESE,Scacciapidocchi,,3.1114
CORLEONE,Bicchinello,2024-08-03,3.1102
MONREALE,Miccini,,3.0828
MONREALE,Lago Poma,2018-09-18,3.0759
MISILMERI,Piano Della Stoppa,2025-07-13,3.055
TERMINI IMERESE,M. Pileri,2021-07-07,3.0428
MONREALE,Lago Poma,2022-09-04,3.02
MONREALE,Piano dell'Occhio,2021-10-22,3.0172
MONREALE,Bommarito,2023-08-17,2.9908
BELMONTE MEZZAGNO,Finocchiara,2025-09-26,2.989
TRAPPETO,San Cataldo,2024-07-31,2.989
CONTESSA ENTELLINA,Serra,2020-05-22,2.9875
CIMINNA,Serre,2018-06-10,2.9847
MONTELEPRE,Monte D'Oro,2024-08-16,2.9548
CACCAMO,S.Rosala,2022-05-31,2.9404
BELMONTE MEZZAGNO,Casale,,2.9385
ALTOFONTE,La Moarda,2025-08-11,2.9373
CASTELLANA SICULA,Valle Maimone,2023-08-26,2.9352
CHIUSA SCLAFANI,Chiappanti,2023-10-20,2.9336
COLLESANO,Tabarani,2023-12-02,2.9333
SANTA CRISTINA GELA,RAJII CIARAMBELES,2022-08-30,2.9321
VENTIMIGLIA DI SICILIA,Traversa,2018-09-04,2.8945
COLLESANO,Contrada Gargi Di Cenere,2023-09-07,2.8913
CIMINNA,"Pistolera,Ciminna (PA)",2018-07-18,2.8898
MISILMERI,Frattina,2025-09-08,2.8867
CORLEONE,Raviolo,,2.885
MONTELEPRE,Suvarelli,2024-08-23,2.883
COLLESANO,Contrada Scaletta,2020-06-20,2.8778
GRATTERI,Gallefina - Tribuna,2021-01-07,2.8774
CACCAMO,Contrada Pianazzo,,2.8774
BAUCINA,Contrada Noce,2018-09-13,2.8761
MONREALE,Cozzo San Tommaso,,2.8131
BELMONTE MEZZAGNO,Cozzo Pruvulazzo,,2.8041
POLIZZI GENEROSA,Casa S. Nicola,2023-03-16,2.8014
TRABIA,Danigarci S. Onofrio,2025-09-10,2.7962
