fire_id,comune,fire_date,area_ha,day_or_night_ignition,pct_agricultural_landcover,pastureland_context_flag,shape_compactness,straight_edge_fraction,geometric_shape_flag
275723,Altofonte,2025-07-24 11:07:38.560,1,day,0.0,not predominantly agricultural,0.784,0.277,False
275719,Altofonte,2025-07-24 12:00:00.000,246,day,3.3,not predominantly agricultural,0.284,0.344,False
281710,Altofonte,2025-09-22 00:39:00.000,6,night,0.0,not predominantly agricultural,0.799,0.424,True
279607,Altofonte,2025-08-27 11:21:00.000,11,day,0.0,not predominantly agricultural,0.319,0.328,False
279608,Altofonte,2025-08-28 11:51:00.000,8,day,0.0,not predominantly agricultural,0.328,0.398,True
281709,Altofonte,2025-09-22 00:13:00.000,33,night,0.0,not predominantly agricultural,0.714,0.52,True
26269,Bagheria,2020-05-04 01:06:00.000,8,night,0.0,not predominantly agricultural,0.762,0.3,False
40307,Bagheria,2020-07-11 00:42:00.000,22,night,0.0,not predominantly agricultural,0.589,0.686,True
40111,Bagheria,2020-06-22 21:00:00.000,18,night,21.1,not predominantly agricultural,0.534,0.387,True
209159,Bagheria,2022-08-06 20:57:00.000,22,night,27.3,not predominantly agricultural,0.674,0.379,True
14343,Palermo,2018-07-17 00:00:00.000,52,night,10.9,not predominantly agricultural,0.483,0.531,True
14277,Misilmeri,2018-07-22 00:00:00.000,209,night,13.9,not predominantly agricultural,0.59,0.544,True
19088,Misilmeri,2019-06-13 00:00:00.000,26,night,0.0,not predominantly agricultural,0.535,0.53,True
17475,Belmonte Mezzagno,2019-08-02 00:00:00.000,86,night,0.0,not predominantly agricultural,0.653,0.703,True
17160,Belmonte Mezzagno,2019-08-06 00:00:00.000,127,night,23.2,not predominantly agricultural,0.747,0.764,True
40442,Misilmeri,2020-07-10 10:08:52.711,11,day,0.0,not predominantly agricultural,0.695,0.489,True
40143,Belmonte Mezzagno,2020-07-01 09:50:00.000,33,day,14.7,not predominantly agricultural,0.458,0.224,False
40443,Belmonte Mezzagno,2020-07-10 16:09:50.538,4,day,0.0,not predominantly agricultural,0.91,0.096,False
40260,Belmonte Mezzagno,2020-07-01 10:07:40.945,22,day,59.1,near/in agricultural land,0.443,0.044,False
40921,Santa Cristina Gela,2020-07-28 11:42:00.000,18,day,0.0,not predominantly agricultural,0.59,0.258,False
43058,Santa Cristina Gela,2020-08-30 11:24:00.000,134,day,0.0,not predominantly agricultural,0.454,0.199,False
43376,Belmonte Mezzagno,2020-08-28 11:12:00.000,16,day,40.0,near/in agricultural land,0.392,0.214,False
43379,Belmonte Mezzagno,2020-08-30 00:06:00.000,5,night,0.0,not predominantly agricultural,0.609,0.192,False
50778,Misilmeri,2021-06-27 00:00:00.000,25,night,36.0,near/in agricultural land,0.649,0.358,True
51505,Belmonte Mezzagno,2021-07-30 11:17:00.000,28,day,0.0,not predominantly agricultural,0.553,0.296,False
52124,Belmonte Mezzagno,2021-08-01 12:17:00.000,11,day,50.0,near/in agricultural land,0.431,0.212,False
49777,Misilmeri,2021-06-15 11:24:16.264,14,day,0.0,not predominantly agricultural,0.54,0.451,True
50089,Belmonte Mezzagno,2021-06-20 11:17:00.000,61,day,5.2,not predominantly agricultural,0.258,0.087,False
50301,Belmonte Mezzagno,2021-07-05 11:34:00.000,3,day,0.0,not predominantly agricultural,0.787,0.159,False
50225,Belmonte Mezzagno,2021-07-05 00:00:00.000,9,night,0.0,not predominantly agricultural,0.832,0.344,False
50224,Belmonte Mezzagno,2021-07-05 00:00:00.000,35,night,0.0,not predominantly agricultural,0.64,0.437,True
50851,Belmonte Mezzagno,2021-06-27 00:00:00.000,26,night,0.0,not predominantly agricultural,0.564,0.184,False
51507,Belmonte Mezzagno,2021-07-30 11:17:00.000,5,day,60.0,near/in agricultural land,0.408,0.174,False
51508,Belmonte Mezzagno,2021-07-30 11:17:00.000,2,day,0.0,not predominantly agricultural,0.598,0.231,False
51506,Belmonte Mezzagno,2021-07-30 00:00:00.000,8,night,37.5,near/in agricultural land,0.722,0.423,True
52125,Belmonte Mezzagno,2021-08-04 11:21:00.000,13,day,18.2,not predominantly agricultural,0.344,0.363,True
53038,Santa Cristina Gela,2021-08-13 00:00:00.000,12,night,9.1,not predominantly agricultural,0.891,0.394,True
53115,Misilmeri,2021-08-17 11:28:00.000,82,day,13.1,not predominantly agricultural,0.377,0.296,False
52123,Belmonte Mezzagno,2021-08-01 12:17:00.000,82,day,23.5,not predominantly agricultural,0.231,0.297,False
210143,Misilmeri,2022-09-04 10:56:00.000,937,day,2.7,not predominantly agricultural,0.298,0.515,True
210861,Santa Cristina Gela,2022-09-25 09:39:00.000,6,day,0.0,not predominantly agricultural,0.799,0.305,False
209599,Belmonte Mezzagno,2022-08-18 00:00:00.000,10,night,11.1,not predominantly agricultural,0.374,0.43,True
204389,Belmonte Mezzagno,2022-06-29 00:33:00.000,29,night,10.7,not predominantly agricultural,0.339,0.411,True
209436,Belmonte Mezzagno,2022-08-18 00:00:00.000,30,night,6.9,not predominantly agricultural,0.574,0.337,False
204370,Belmonte Mezzagno,2022-06-27 00:00:00.000,8,night,28.6,not predominantly agricultural,0.565,0.323,False
209601,Belmonte Mezzagno,2022-08-18 00:00:00.000,10,night,0.0,not predominantly agricultural,0.741,0.348,False
210237,Santa Cristina Gela,2022-09-09 00:00:00.000,34,night,12.1,not predominantly agricultural,0.624,0.511,True
209435,Belmonte Mezzagno,2022-08-19 01:15:00.000,176,night,19.0,not predominantly agricultural,0.362,0.283,False
209437,Belmonte Mezzagno,2022-08-18 11:15:00.000,44,day,26.8,not predominantly agricultural,0.414,0.333,False
